City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,ephraim,39.3597,-111.5863,18.23,34,36,1.71,US,1691649068
161,utrik,11.2278,169.8474,28.37,73,74,5.82,MH,1691649068
162,nyurba,63.2842,118.3319,28.12,35,16,4.52,RU,1691649068
163,axim,4.8699,-2.2405,23.99,87,100,4.6,GH,1691648799
164,puerto deseado,-47.7503,-65.8938,8.8,84,100,2.82,AR,1691649069
165,noumea,-22.2763,166.4572,18.99,55,42,7.32,NC,1691648896
166,mount isa,-20.7333,139.5,27.87,23,1,3.6,AU,1691649069
167,sete lagoas,-19.4658,-44.2467,16.49,90,0,3.02,BR,1691649069
168,narvik,68.4384,17.4272,17.43,74,100,0.67,NO,1691649020
169,vung tau,10.346,107.0843,30.22,74,80,4.38,VN,1691649070
170,chibougamau,49.9168,-74.3659,14.79,94,100,1.03,CA,1691649070
171,al kharj,24.155,47.3346,39.32,6,0,2.5,SA,1691649070
172,whakatane,-37.9585,176.9854,9.73,95,100,3.87,NZ,1691649070
173,keflavik,64.0049,-22.5624,11.95,71,75,5.14,IS,1691649071
174,taltal,-25.4,-70.4833,15.74,75,0,0.16,CL,1691649069
175,olyokminsk,60.3736,120.4264,31.58,32,53,2.64,RU,1691649071
176,vilaseca,42.0617,2.2553,25.21,92,0,0.54,ES,1691649071
177,chardara,41.2547,67.9692,34.15,26,0,2.61,KZ,1691649072
178,smithers,54.7804,-127.1743,14.18,72,100,0.0,CA,1691649072
179,hami,42.8,93.45,36.24,17,0,1.54,CN,1691649072
180,saint-philippe,-21.3585,55.7679,22.77,79,49,3.8,RE,1691649072
181,yuzhno-kurilsk,44.0306,145.8556,21.48,92,100,6.55,RU,1691649073
182,tazovsky,67.4667,78.7,14.89,61,16,9.69,RU,1691649073
183,brokopondo,4.75,-55.1667,24.6,88,0,3.77,SR,1691649073
184,barra de santo antonio,-9.4047,-35.5072,21.6,78,15,3.68,BR,1691649073
185,greenville,35.6127,-77.3663,24.01,91,0,0.45,US,1691648910
186,palapag,12.5458,125.1147,28.52,81,100,3.18,PH,1691649074
187,almazan,41.4865,-2.5309,22.6,37,4,3.41,ES,1691649074
188,weno,7.4515,151.8468,28.67,72,82,3.12,FM,1691649074
189,qingdao,36.0986,120.3719,33.78,43,0,9.0,CN,1691649075
190,kumeny,58.1089,49.9161,25.57,52,6,1.77,RU,1691649075
191,shinkafi,13.0753,6.5105,24.73,81,99,6.14,NG,1691649075
192,kamloops,50.6665,-120.3192,17.55,73,40,4.12,CA,1691649017
193,isangel,-19.55,169.2667,19.76,66,37,8.91,VU,1691649076
194,el calafate,-50.3408,-72.2768,1.23,87,100,1.87,AR,1691649076
195,hasaki,35.7333,140.8333,32.39,74,34,4.54,JP,1691648960
196,gadzhiyevo,69.2551,33.3362,21.6,63,7,4.23,RU,1691649076
197,claveria,18.6074,121.0832,31.29,67,99,5.96,PH,1691649076
198,arkhangel'sk,64.5401,40.5433,24.29,58,0,3.48,RU,1691649077
199,san patricio,28.017,-97.5169,29.36,81,5,6.32,US,1691649077
200,chifeng,42.2683,118.9636,27.94,46,52,2.75,CN,1691649077
201,yunak,38.8142,31.7322,23.42,60,0,1.17,TR,1691649077
202,kapuskasing,49.4169,-82.4331,15.05,94,75,3.09,CA,1691649078
203,boca suno,-0.7167,-77.1333,19.98,95,38,1.05,EC,1691649078
204,akureyri,65.6835,-18.0878,6.96,87,100,2.06,IS,1691649078
205,levuka,50.1834,-105.4011,11.9,69,98,6.76,CA,1691649078
206,kargopol',61.5071,38.9456,23.69,57,10,2.54,RU,1691649078
207,cooper's town,26.8667,-77.5167,29.53,75,30,4.41,BS,1691649079
208,hithadhoo,-0.6,73.0833,27.73,72,27,3.43,MV,1691649079
209,omurtag,43.1,26.4167,19.81,58,100,2.7,BG,1691649079
210,st. john's,47.5649,-52.7093,13.21,96,100,9.77,CA,1691648815
211,sittwe,20.15,92.9,26.03,88,100,1.36,MM,1691649079
212,tateyama,34.9833,139.8667,28.15,79,0,5.68,JP,1691649080
213,shimanovsk,52.0,127.7,25.97,46,66,1.94,RU,1691649080
214,longyearbyen,78.2186,15.6401,11.91,54,0,1.54,SJ,1691649080
215,mount gambier,-37.8333,140.7667,10.74,78,100,2.11,AU,1691649081
216,antonio enes,-16.2325,39.9086,25.05,58,42,5.95,MZ,1691649081
217,khandyga,62.6667,135.6,25.6,32,83,0.89,RU,1691649081
218,tralee,52.2704,-9.7026,17.14,94,100,4.63,IE,1691649081
219,enewetak,11.3474,162.3373,28.78,76,94,6.44,MH,1691649082
220,gordonvale,-17.0936,145.7842,26.61,76,90,3.22,AU,1691649082
221,formosa do rio preto,-11.0483,-45.1931,18.72,58,0,1.72,BR,1691649082
222,tamanrasset,22.785,5.5228,27.95,21,0,8.23,DZ,1691649082
223,ponta delgada,37.7333,-25.6667,23.4,88,75,3.6,PT,1691649083
224,huarmey,-10.0681,-78.1522,18.84,86,54,3.47,PE,1691649083
225,pariaman,-0.619,100.12,30.03,80,47,3.49,ID,1691648907
226,vorgashor,67.5833,63.95,16.41,54,39,5.83,RU,1691648789
227,tyrnava,64.7647,25.6523,17.21,97,100,1.49,FI,1691649083
228,kapa'a,22.0752,-159.319,27.18,80,75,8.75,US,1691649084
229,salinopolis,-0.6136,-47.3561,25.9,81,17,5.17,BR,1691649084
230,inarajan village,13.2736,144.7484,29.66,91,100,9.28,GU,1691648887
231,uliastay,47.7417,96.8444,20.63,48,81,3.24,MN,1691649084
232,barreirinha,-2.7933,-57.07,23.93,77,21,1.51,BR,1691649085
233,east ballina,-28.8667,153.5833,23.22,66,3,7.7,AU,1691649085
234,carnarvon,-24.8667,113.6333,24.0,54,0,5.6,AU,1691649085
235,anna regina,7.2644,-58.5077,27.38,77,9,4.09,GY,1691649085
236,namibe,-15.1961,12.1522,15.73,89,21,3.87,AO,1691648862
237,kununurra,-15.7667,128.7333,31.99,20,60,4.12,AU,1691649086
238,fort abbas,29.1925,72.8536,36.96,37,8,4.64,PK,1691649086
239,galveston,29.3669,-94.9669,30.05,82,20,7.72,US,1691649086
240,richards bay,-28.783,32.0377,18.99,73,100,2.05,ZA,1691649086
